"GDP per capita (2017 PPP $)"
"Dimension: Income/composition of resources"
"Definition: GDP in a particular period divided by the total population in the same period."
"Source: World Bank (2020a). World Development Indicators database. Washington, DC. http://data.worldbank.org. Accessed 22 July 2020."
""
"62"," Costa Rica","9550","","10931","","12067","","13476","","15918","","16404","","16989","","17177","","17583","","18024","","18592","","19112","","19427","","19642",""
"43"," Croatia","..","","14845","","18120","","23423","","24124","","24132","","23664","","23600","","23672","","24449","","25479","","26596","","27558","","28509",""
"33"," Cyprus","25186","","28579","","32883","","37654","","38227","","37414","","35578","","33324","","33065","","34376","","36527","","37767","","38822","","39545",""
"27"," Czechia","23662","","22773","","25045","","30466","","33505","","34030","","33711","","33537","","34411","","36167","","36982","","38489","","39453","","40314",""
"162"," Côte d'Ivoire","4500","","4065","","4094","","3670","","3661","","3418","","3693","","3923","","4162","","4417","","4616","","4831","","5029","","5238",""
"10"," Denmark","39121","","43118","","49024","","51606","","50947","","51416","","51339","","51602","","52173","","53019","","54314","","55065","","56103","","57184",""
"166"," Djibouti","..","","..","","..","","..","","..","","..","","..","","4028","","4239","","4489","","4710","","4885","","5214","","5519",""
"94"," Dominica","7776","","8385","","9611","","10160","","12004","","11970","","11835","","11709","","12218","","11872","","12155","","11304","","11533","","12156",""
"88"," Dominican Republic","6203","","7397","","9322","","10291","","12782","","13024","","13220","","13702","","14500","","15328","","16167","","16735","","17712","","18419",""
"86"," Ecuador","8294","","8576","","8176","","9504","","10341","","10984","","11431","","11819","","12078","","11896","","11552","","11618","","11562","","11375",""
"116"," Egypt","6087","","6483","","7745","","8397","","10340","","10302","","10301","","10290","","10354","","10570","","10796","","11014","","11366","","11763",""
"124"," El Salvador","5265","","6212","","6549","","6871","","7329","","7576","","7755","","7892","","7990","","8143","","8310","","8454","","8616","","8776",""
"145"," Equatorial Guinea","1040","","1781","","11177","","32390","","34732","","35378","","36671","","33679","","32436","","28314","","24827","","22551","","20360","","18558",""
"29"," Estonia","..","","12760","","17809","","26137","","26178","","28212","","29198","","29696","","30664","","31209","","32021","","33821","","35308","","36710",""
"138"," Eswatini (Kingdom of)","5136","","5298","","5621","","6600","","7515","","7632","","7989","","8240","","8253","","8375","","8406","","8494","","8606","","8688",""
"173"," Ethiopia","767","","677","","728","","862","","1259","","1361","","1437","","1545","","1657","","1779","","1895","","2022","","2104","","2220",""
"93"," Fiji","8427","","8993","","9549","","10626","","10518","","10757","","10888","","11397","","12023","","12553","","12812","","13429","","13808","","13853",""
"11"," Finland","32939","","31500","","39895","","44787","","45875","","46826","","45953","","45329","","44977","","45073","","46162","","47481","","48191","","48621",""
"26"," France","33894","","35346","","39923","","41843","","42350","","43069","","42996","","43021","","43227","","43553","","43914","","44827","","45561","","46184",""
"119"," Gabon","18178","","18513","","16566","","15760","","14414","","14882","","15082","","15341","","15436","","15509","","15359","","15007","","14743","","14870",""
"172"," Gambia","2265","","2128","","2270","","2216","","2347","","2092","","2136","","2131","","2039","","2059","","2037","","2073","","2144","","2207",""
"61"," Georgia","11135","","3244","","4919","","7315","","9737","","10541","","11296","","11740","","12255","","12605","","12964","","13590","","14257","","15014",""
"6"," Germany","36640","","39302","","42858","","43880","","46927","","49681","","49796","","49873","","50771","","51209","","51930","","53012","","53660","","53815",""
"138"," Ghana","2344","","2510","","2737","","3093","","3732","","4155","","4434","","4649","","4676","","4670","","4724","","4997","","5194","","5413",""
